,date,Judkins Park,On the Waterfront,Pioneer Square,Genesee County,Lower Queen Anne,East Queen Anne,Victory Heights,University District,Yusuf Gatewood,North Queen Anne,Fremont,Loyal Heights Elementary School,Seattle Chinatown-International District,Pinehurst Resort,Phinney Ridge,Magnolia,Hacksaw Ridge,North Park University,Uptown Cheapskate,Toronto Maple Leafs,Holes,Mason Greenwood,Leschi,Wedgwood,Capitol Hill,Seaview Golf Club,North Delridge,West Queen Anne,Wallingford,Dunlap,West Woodland,Olympic Hills Golf Club,Bitter Lake,Denny Triangle,Downtown,Child,Alcibiades,Haller Lake,Sunset Hill,Belltown,First Hill,Madison Valley,Ravenna,Admiral,Westlake,North Beacon Hill,Eastlake,Portage Bay Cafe - South Lake Union,Eleven Madison Park,Cedar Park,Scott Adams
186,2021-08-01,6,10,35,61,69,0,0,49,2,0,71,0,53,35,39,38,13,28,83,7,42,1,32,71,2,43,0,0,63,88,0,40,17,13,19,77,16,32,45,46,44,63,39,45,23,51,57,8,51,25,67
187,2021-08-08,2,6,37,52,32,0,0,41,4,0,75,0,51,43,35,38,10,35,69,9,48,1,30,57,2,58,0,0,65,79,46,30,7,13,25,90,15,64,41,76,44,58,33,52,46,50,63,9,51,19,46
188,2021-08-15,1,11,33,60,40,38,0,60,6,0,73,90,41,45,49,37,15,48,79,8,44,1,21,78,3,52,0,0,87,100,68,10,100,0,18,84,16,31,44,43,43,72,37,34,0,57,53,7,48,24,50
189,2021-08-22,3,6,32,78,23,40,0,54,4,52,72,0,60,40,43,38,16,56,63,8,47,1,29,69,2,54,0,73,54,93,12,31,55,64,6,81,16,49,38,57,18,46,34,67,0,51,49,7,55,25,37
190,2021-08-29,5,6,33,51,37,40,0,61,4,26,72,0,44,50,78,38,12,88,57,8,38,3,37,65,2,54,0,0,72,76,59,10,17,25,6,79,12,0,42,47,54,54,35,39,23,46,56,9,51,21,52
191,2021-09-05,1,6,44,44,24,0,0,49,4,0,72,0,55,52,53,38,14,74,70,8,40,2,32,78,2,66,52,25,65,79,49,43,29,26,33,77,22,0,38,55,28,78,32,58,24,47,57,9,50,22,47
192,2021-09-12,1,9,30,46,37,0,0,50,5,26,70,0,49,47,35,41,13,64,58,9,42,1,15,65,2,44,0,24,53,78,24,0,17,13,19,83,15,0,44,69,54,70,30,32,24,45,64,7,48,26,36
193,2021-09-19,0,17,33,41,38,0,0,75,4,26,69,0,65,55,56,41,13,75,61,10,41,1,22,83,2,52,0,0,82,71,36,21,11,26,13,78,29,17,42,66,63,59,33,64,0,51,57,9,47,20,32
194,2021-09-26,1,9,36,45,38,0,0,67,1,0,70,0,54,51,36,40,11,55,65,14,48,2,18,74,2,67,0,49,63,83,36,21,17,26,6,79,15,16,42,62,54,85,30,64,0,46,59,30,49,21,33
195,2021-10-03,4,6,37,39,14,0,52,62,2,0,72,0,39,54,59,38,14,38,67,13,38,1,20,71,2,56,0,0,53,71,47,21,14,51,6,79,18,16,39,78,9,67,25,63,24,50,46,9,47,19,30
196,2021-10-10,3,6,37,42,39,0,0,58,0,0,69,0,48,52,49,36,15,61,62,24,42,1,18,66,2,63,0,100,58,73,12,11,50,13,53,85,25,0,43,46,55,81,33,62,0,48,68,8,48,18,27
197,2021-10-17,3,4,35,51,48,0,0,55,4,0,71,0,47,29,44,36,15,57,65,24,45,1,13,78,2,34,0,74,50,68,60,31,11,26,13,86,17,0,30,64,45,100,63,25,24,44,58,15,51,24,33
198,2021-10-24,0,6,30,36,48,0,0,63,1,27,74,0,30,74,28,35,15,50,66,26,59,1,22,77,2,37,0,0,64,74,24,11,4,0,6,87,24,33,36,64,64,82,38,54,72,53,43,15,51,16,30
199,2021-10-31,0,5,23,48,67,0,0,59,1,27,71,0,49,22,44,34,14,63,56,20,49,1,20,86,2,34,0,25,59,76,24,0,14,26,7,88,12,0,30,57,18,79,35,47,24,53,62,10,50,17,28
200,2021-11-07,2,6,27,40,24,0,0,56,1,0,69,0,36,26,48,36,17,61,63,25,41,1,16,83,1,29,0,25,72,93,48,10,11,39,13,85,14,17,61,52,36,83,37,18,24,47,61,11,51,20,26
201,2021-11-14,0,6,30,47,33,0,52,53,0,26,69,0,41,62,32,33,19,60,61,23,47,1,27,72,2,26,0,0,36,69,47,10,10,13,13,87,22,16,44,39,9,82,30,46,24,41,57,10,48,30,45
202,2021-11-21,0,4,29,38,39,0,0,53,4,27,62,0,30,34,29,35,22,53,78,24,38,1,16,99,1,24,0,50,54,74,12,11,14,13,46,86,15,34,41,44,28,58,28,47,0,45,36,7,48,22,48
203,2021-11-28,3,4,33,48,23,0,0,38,1,25,63,0,31,52,61,36,17,34,64,20,34,1,13,79,2,22,0,0,38,72,34,10,3,25,12,85,10,16,41,57,26,56,31,34,91,39,48,8,49,18,35
204,2021-12-05,2,6,26,35,28,0,0,45,1,0,66,0,39,29,47,34,17,44,56,25,45,1,24,69,2,15,0,0,52,74,35,31,7,38,6,87,9,0,44,63,27,66,37,53,0,44,42,7,51,22,49
205,2021-12-12,1,5,24,39,53,0,0,64,4,0,78,0,51,63,32,30,17,40,58,18,38,1,27,69,2,24,0,25,52,83,12,0,11,0,7,86,20,34,36,44,9,66,32,43,0,58,39,6,55,22,56
206,2021-12-19,1,7,32,40,56,0,0,48,4,0,77,0,54,51,26,25,26,27,77,9,32,1,19,73,1,8,0,27,41,73,52,0,19,14,7,80,26,36,43,49,10,51,32,31,0,43,34,5,51,23,37
207,2021-12-26,2,7,31,39,24,0,0,36,2,27,72,0,33,34,37,29,34,28,72,11,35,1,20,84,1,24,0,0,48,75,0,11,14,0,13,75,17,17,38,38,18,49,31,40,24,39,26,7,54,24,48
208,2022-01-02,2,4,25,53,33,40,0,52,2,0,71,0,42,29,24,32,34,35,74,16,42,1,9,64,2,0,0,24,49,94,12,10,7,13,13,80,27,0,42,57,9,65,100,38,0,49,29,5,54,31,17
209,2022-01-09,1,7,27,46,24,80,0,48,2,0,64,0,35,58,40,30,28,33,71,22,39,1,20,70,2,34,50,24,65,65,0,10,7,26,32,77,9,33,36,47,27,69,51,50,0,48,30,7,50,26,11
210,2022-01-16,1,5,22,34,28,0,0,44,5,0,65,0,44,55,44,32,26,58,59,19,40,1,16,83,2,8,0,24,55,87,12,10,24,26,19,77,4,33,43,58,36,56,40,81,0,40,44,7,49,26,11
211,2022-01-23,0,8,23,57,14,0,0,57,4,0,63,0,48,22,28,34,25,59,71,16,40,1,20,68,1,13,0,25,52,84,12,32,21,13,33,79,25,17,43,44,9,57,47,80,0,40,38,6,50,20,14
212,2022-01-30,1,7,28,47,30,0,0,54,0,0,66,0,46,57,25,37,24,30,64,20,45,100,16,72,2,11,0,26,48,81,12,22,4,54,7,80,22,17,32,67,19,46,45,100,0,50,35,5,51,18,13
213,2022-02-06,1,7,32,46,20,0,0,61,0,27,67,0,28,34,29,42,18,52,71,18,42,14,16,75,2,24,0,26,68,79,25,0,15,27,0,80,17,17,86,43,19,55,37,82,50,50,44,7,52,17,22
214,2022-02-13,1,5,25,52,25,0,0,57,1,28,69,0,30,34,17,38,17,47,60,20,44,5,19,63,2,33,0,26,47,72,25,22,7,14,14,78,17,0,43,61,9,42,31,52,75,46,43,7,54,17,26
215,2022-02-20,4,17,26,47,29,0,0,45,2,0,67,0,33,52,16,49,25,51,83,29,39,5,14,71,2,24,52,0,51,84,12,0,7,0,20,77,20,17,44,46,28,54,36,73,0,46,74,7,56,24,20
216,2022-02-27,0,8,24,42,10,0,0,45,2,0,75,0,34,44,32,50,51,52,64,30,46,3,20,80,2,16,0,0,42,63,12,11,7,39,13,77,21,17,52,52,27,60,33,93,48,39,60,8,55,19,27
