,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
46,2018-11-25,25,39,50,65,2,41,0,93,55,29,54,51,28,15,31,44,23,64,73,26,16,33,39,12,65,17,30,52
47,2018-12-02,29,75,53,70,6,51,13,0,96,27,47,45,19,46,28,51,24,63,72,7,0,29,56,13,30,14,62,51
48,2018-12-09,26,23,50,59,6,28,0,0,77,33,45,45,19,23,27,30,0,64,67,21,17,15,43,26,30,18,0,53
49,2018-12-16,32,18,52,70,3,39,40,0,0,25,47,40,30,55,33,61,33,70,67,28,17,20,39,33,31,20,64,55
50,2018-12-23,29,27,48,93,4,43,15,0,22,35,46,62,22,44,39,56,19,72,58,16,38,11,64,15,0,21,36,58
51,2018-12-30,38,43,70,80,91,70,14,0,41,39,55,31,20,33,30,46,26,72,53,73,0,42,64,55,57,23,0,64
52,2019-01-06,37,52,50,74,7,33,13,97,19,38,51,43,29,23,22,67,16,68,58,69,33,30,56,26,30,20,31,52
53,2019-01-13,33,62,31,63,5,41,0,0,37,29,39,56,0,22,15,71,8,67,54,60,0,24,62,31,30,18,0,48
54,2019-01-20,34,51,84,66,8,55,13,0,0,27,54,62,28,37,22,44,8,65,48,33,16,14,60,31,81,18,61,52
55,2019-01-27,35,61,64,71,5,45,0,0,56,34,42,42,28,15,24,68,23,66,53,60,16,57,48,43,29,21,0,55
56,2019-02-03,32,38,50,72,3,26,49,0,0,89,48,41,45,22,15,51,30,66,49,39,31,28,49,12,28,24,0,54
57,2019-02-10,39,49,64,66,4,67,25,0,18,96,55,55,27,29,20,54,31,65,58,65,32,38,76,24,29,21,0,56
58,2019-02-17,38,56,82,65,7,45,12,0,19,78,45,64,18,22,27,44,39,65,39,60,0,43,57,25,73,18,0,61
59,2019-02-24,31,77,68,60,6,85,0,0,37,73,54,51,18,58,20,69,15,65,44,39,0,94,66,43,50,19,59,61
60,2019-03-03,31,67,66,67,7,50,0,0,56,61,43,40,19,37,28,63,32,67,48,60,16,43,55,44,44,17,0,58
61,2019-03-10,30,45,63,68,6,68,0,0,19,51,53,46,28,45,24,55,16,100,61,33,49,24,55,6,52,21,61,59
62,2019-03-17,33,35,70,62,7,56,13,0,19,50,45,66,38,38,31,43,49,79,48,34,0,44,52,0,45,24,31,56
63,2019-03-24,36,63,61,71,6,28,0,0,38,46,59,75,9,45,22,40,24,70,50,41,0,34,47,63,45,20,31,67
64,2019-03-31,38,46,69,67,4,47,26,0,57,38,49,53,86,46,33,45,40,82,68,20,33,29,58,32,53,21,31,64
65,2019-04-07,37,52,66,71,8,65,26,0,19,25,59,43,0,46,36,56,8,70,73,14,66,29,60,26,15,17,31,55
66,2019-04-14,38,88,50,82,6,33,26,98,0,25,68,38,29,0,36,49,41,68,52,42,34,40,66,26,31,26,32,62
67,2019-04-21,42,87,80,67,6,52,0,0,19,30,53,50,29,23,31,41,25,68,71,69,0,45,67,45,54,21,31,64
68,2019-04-28,34,51,76,71,3,69,0,0,0,30,49,44,9,30,37,63,32,70,82,40,16,24,58,13,15,26,0,64
69,2019-05-05,33,69,76,70,3,84,13,0,38,21,46,45,57,46,38,53,56,70,72,20,83,20,62,19,38,21,0,56
70,2019-05-12,37,59,43,67,5,43,0,0,0,26,56,69,49,31,32,49,8,72,59,35,34,45,53,59,39,18,0,63
71,2019-05-19,38,48,74,71,4,14,27,0,20,23,54,47,20,55,36,39,33,74,66,35,0,46,46,26,47,24,0,57
72,2019-05-26,35,42,57,82,4,69,0,0,20,32,54,43,30,40,52,51,34,80,53,43,35,41,50,54,47,27,33,70
73,2019-06-02,48,43,66,84,3,72,0,0,0,25,58,60,20,22,47,60,40,74,100,42,34,35,65,20,72,26,0,75
74,2019-06-09,37,42,69,81,5,45,12,0,0,27,64,61,39,72,43,60,55,74,57,49,17,35,66,32,47,20,0,78
75,2019-06-16,39,67,100,85,6,72,12,0,39,28,80,68,40,51,36,58,72,83,72,42,17,45,56,66,56,24,0,76
76,2019-06-23,39,100,71,77,4,50,37,100,60,22,50,61,10,59,44,31,57,81,47,64,17,41,48,53,41,20,34,100
77,2019-06-30,39,77,95,78,8,38,26,0,20,32,50,58,10,83,54,46,33,72,60,7,36,52,53,62,42,29,35,84
78,2019-07-07,34,61,63,84,6,49,36,0,0,67,56,74,20,29,41,62,32,73,67,28,34,30,68,78,32,21,33,68
79,2019-07-14,34,43,69,84,5,59,25,0,98,44,54,63,30,44,46,69,0,73,64,57,0,30,53,86,48,27,0,73
80,2019-07-21,35,50,64,80,3,60,25,0,20,31,54,76,10,37,42,68,49,71,55,50,0,21,62,74,25,16,34,71
81,2019-07-28,40,82,55,81,4,60,25,0,0,31,54,56,31,53,39,54,41,72,65,58,35,36,68,41,41,22,0,73
82,2019-08-04,42,44,89,100,7,55,75,0,0,33,56,36,20,30,42,45,41,70,64,50,0,46,75,60,0,21,0,84
83,2019-08-11,44,36,68,85,3,35,60,0,19,29,52,55,49,21,45,38,31,68,68,55,34,54,75,32,47,22,0,67
84,2019-08-18,35,42,71,78,3,57,24,0,38,27,49,51,58,64,38,54,39,67,74,34,34,30,58,19,23,25,0,67
85,2019-08-25,40,46,80,68,7,30,23,93,18,25,53,37,38,21,47,60,53,64,64,46,32,52,56,31,53,22,0,64
86,2019-09-01,33,11,78,62,5,25,23,0,36,32,52,48,27,27,40,56,59,68,59,26,16,37,64,42,66,21,0,64
87,2019-09-08,36,44,56,74,8,32,11,88,17,26,46,39,27,39,47,47,71,65,61,13,46,45,58,100,100,22,30,68
88,2019-09-15,37,22,50,57,7,49,0,0,18,26,59,37,18,33,91,42,58,71,62,57,62,27,61,30,50,21,0,55
89,2019-09-22,35,62,66,70,6,45,11,0,36,28,54,61,27,60,40,45,51,69,65,58,16,23,54,24,37,22,0,64
90,2019-09-29,43,51,67,68,5,29,46,0,0,25,46,38,37,61,38,51,59,66,54,13,16,47,49,37,37,18,0,62
91,2019-10-06,37,23,77,79,5,46,45,0,36,25,47,36,9,27,30,56,7,66,73,26,0,28,60,24,44,18,61,55
92,2019-10-13,32,50,68,71,4,62,11,0,18,25,44,40,18,27,27,48,51,67,62,26,0,41,58,18,44,20,30,66
93,2019-10-20,32,39,57,68,4,41,55,0,0,23,53,34,27,20,40,22,29,70,67,70,46,23,56,35,57,19,0,61
94,2019-10-27,28,60,52,64,8,36,11,0,35,23,47,41,35,26,26,66,35,65,62,69,30,36,50,18,21,14,0,62
95,2019-11-03,38,50,66,81,5,53,45,0,0,23,52,34,27,60,26,40,51,68,58,26,31,55,64,36,44,18,30,63
96,2019-11-10,33,59,66,60,6,51,21,0,0,21,39,31,26,38,23,58,35,59,47,49,0,31,54,29,49,22,0,45
97,2019-11-17,32,27,63,63,7,28,11,88,17,21,40,39,9,39,25,25,43,61,66,44,15,36,47,76,7,15,30,59
98,2019-11-24,34,23,60,72,4,59,46,0,18,27,31,25,19,27,23,51,22,61,48,98,32,38,34,31,37,18,0,49
99,2019-12-01,29,38,75,56,5,47,21,0,17,22,35,42,44,64,25,58,21,60,59,55,30,13,54,12,35,18,0,45
100,2019-12-08,29,32,58,62,4,40,54,0,86,20,33,24,26,71,21,29,35,61,54,62,15,40,51,41,35,16,0,52
101,2019-12-15,32,51,62,81,5,99,56,0,54,23,38,40,0,100,25,53,15,65,64,19,0,23,51,48,66,14,31,58
102,2019-12-22,31,25,74,97,5,42,13,0,40,27,46,40,20,52,35,42,8,66,59,43,35,26,49,34,74,18,0,55
103,2019-12-29,37,82,77,100,100,51,35,0,37,26,46,43,19,62,27,39,45,66,58,47,16,38,68,25,53,27,0,70
104,2020-01-05,29,75,53,75,4,59,0,0,51,25,40,38,26,57,17,31,56,61,55,55,0,44,41,23,35,19,0,70
105,2020-01-12,35,61,56,64,5,38,41,0,16,27,46,26,25,55,19,41,40,60,46,41,100,25,52,22,40,21,0,53
106,2020-01-19,37,48,80,99,3,24,11,0,51,28,53,40,35,32,19,53,28,64,55,31,0,35,60,11,42,21,0,54
107,2020-01-26,37,79,61,78,6,42,31,0,17,28,40,32,34,31,18,35,41,66,48,48,29,52,64,17,27,17,0,48
108,2020-02-02,48,64,88,69,5,39,11,0,34,33,46,34,52,31,20,41,14,58,51,43,15,65,54,28,83,22,0,55
109,2020-02-09,38,79,77,65,4,27,31,0,0,30,52,32,8,50,20,54,27,61,53,18,29,64,52,11,27,19,0,54
110,2020-02-16,33,47,79,78,3,42,31,0,0,34,44,25,25,37,20,61,47,61,56,48,0,30,51,17,47,22,0,59
111,2020-02-23,38,50,68,61,5,100,10,0,16,31,71,32,16,24,23,43,26,64,45,52,14,50,58,11,33,19,27,47
112,2020-03-01,45,100,67,63,8,77,20,80,32,27,47,39,24,59,20,36,45,69,46,34,42,66,42,38,33,20,27,56
113,2020-03-08,28,69,68,67,4,47,20,0,47,28,39,30,16,41,13,42,26,77,37,45,0,45,49,53,32,13,27,46
114,2020-03-15,19,30,62,45,5,33,0,0,0,29,29,20,16,18,9,38,13,64,36,57,14,53,27,11,32,13,27,27
