,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
196,2021-10-10,32,29,62,71,7,27,100,0,0,29,40,30,40,15,37,34,24,67,59,57,0,52,57,14,39,21,33,45
197,2021-10-17,28,51,50,75,3,54,12,0,0,30,39,21,19,51,31,33,46,62,58,49,0,41,64,33,23,15,0,44
198,2021-10-24,27,34,59,68,2,85,12,0,21,35,41,21,49,37,32,36,47,65,52,63,0,56,48,20,54,15,0,45
199,2021-10-31,36,45,58,69,3,45,37,0,0,26,42,21,20,15,25,64,86,67,61,50,34,67,55,7,39,16,32,51
200,2021-11-07,34,39,76,79,2,45,37,0,0,27,48,29,39,36,24,36,54,64,61,28,17,46,49,40,31,20,0,48
201,2021-11-14,32,28,56,61,5,35,61,0,21,60,40,27,19,0,28,49,15,60,81,42,17,45,53,13,46,20,0,45
202,2021-11-21,27,29,62,66,8,55,0,0,0,63,35,17,0,30,21,37,47,64,41,36,0,26,48,20,55,12,0,46
203,2021-11-28,30,48,39,64,7,38,12,0,0,41,38,30,65,41,28,34,66,59,56,53,49,39,45,6,59,19,30,47
204,2021-12-05,32,17,39,73,5,40,36,0,0,33,41,29,10,14,23,35,46,61,34,48,0,50,36,7,23,16,31,49
205,2021-12-12,31,46,55,81,8,36,12,0,0,30,43,15,20,22,20,42,39,68,46,57,0,36,47,13,55,19,0,45
206,2021-12-19,28,18,44,95,5,34,13,0,23,32,36,20,0,16,20,51,58,70,38,38,18,60,26,14,42,15,34,48
207,2021-12-26,28,46,51,83,14,23,13,0,0,33,43,41,20,22,24,45,16,66,49,29,69,62,53,14,39,17,0,37
208,2022-01-02,31,33,60,69,68,48,12,0,0,29,33,33,0,43,15,43,53,62,43,14,17,65,53,33,61,100,31,33
209,2022-01-09,23,39,50,74,7,62,12,0,0,30,35,21,39,29,15,39,31,61,36,14,0,61,38,33,69,29,95,48
210,2022-01-16,30,45,42,66,4,31,49,0,21,25,33,40,29,29,18,27,15,62,37,77,0,76,56,33,46,20,32,39
211,2022-01-23,26,51,52,69,3,18,25,0,21,28,32,30,20,59,28,31,31,63,51,36,17,62,47,20,39,12,0,37
212,2022-01-30,28,47,82,98,4,83,51,0,0,32,41,22,40,15,22,34,16,63,30,44,18,42,42,7,40,18,0,43
213,2022-02-06,31,53,52,75,3,65,13,0,0,30,38,24,30,15,22,52,64,62,36,29,0,37,57,35,40,12,0,43
214,2022-02-13,33,18,48,81,7,28,13,0,0,32,41,24,20,46,25,26,48,61,49,37,89,85,49,14,32,15,0,42
215,2022-02-20,36,40,46,88,4,55,25,0,21,29,40,30,30,15,22,45,32,60,48,43,35,68,59,7,32,14,0,39
216,2022-02-27,35,40,43,80,5,81,62,0,42,26,44,34,39,22,17,70,55,61,45,7,17,31,44,34,31,14,32,44
