,date,Old Town Road,Near North District School Board,Avondale,Dearborn Park International Elementary School,Community South Commons Messin,Roscoe Village,Printer's Row,Old Town,Lathrop Homes,Norwood Park,Bridgeport,Greektown,DePaul University,Ravenswood,New Eastside,O'Hare International Airport,Bronzeville,Regal Cinebarre West Town Mall,South Shore Plaza,Wrightwood Neighbors,North Center,Uptown Cheapskate,Dunning,Rogers Park,Petla,West Ridge,Hyde Park Winter Wonderland,The Westin Chicago River North,Bucktown,South Loop,Streeterville,Back of the Yards,Portage Park,Fulton River District,Budlong Woods,Edgewater,Jefferson Park,Sheffield Neighbors,Clearing,Lakeview Terrace,Goose Island Brewery,River West,Near West Side,Irving Park,Andersonville National Historic Site,Little Italy,Galewood,Gold Coast,West Loop Gate,Nothing like the Holidays,Logan Square
185,2021-07-25,2,0,78,0,46,13,25,0,42,91,38,37,48,100,64,33,18,19,0,39,73,62,6,23,10,2,46,12,81,42,18,40,8,18,73,16,0,51,17,25,50,55,13,21,31,19,52,50,2,50,77
186,2021-08-01,2,0,71,0,41,39,26,24,80,88,50,39,48,51,66,34,9,16,70,67,83,56,10,23,8,2,38,25,72,38,21,43,4,0,62,25,0,54,6,26,39,37,23,24,38,6,49,0,1,50,53
187,2021-08-08,1,0,71,0,70,32,27,24,52,86,31,39,36,63,71,32,18,15,0,56,69,38,7,12,13,2,36,25,78,29,16,47,0,18,64,0,52,57,30,26,67,56,10,20,45,29,50,0,3,52,65
188,2021-08-15,1,0,75,0,35,20,19,12,46,92,42,43,38,12,56,24,10,16,35,44,79,37,9,0,15,3,29,12,75,48,20,50,10,35,53,16,0,60,15,19,28,55,22,19,36,19,53,0,0,56,72
189,2021-08-22,1,0,75,25,19,27,25,48,67,100,46,58,38,64,60,27,12,17,0,20,63,54,9,35,10,3,21,26,66,42,26,53,2,18,65,42,0,53,10,24,23,13,20,23,37,20,46,0,2,41,49
190,2021-08-29,2,49,71,0,78,25,20,12,72,95,38,57,30,39,56,33,3,17,36,34,57,41,9,35,12,2,28,13,72,47,21,43,2,0,56,34,0,56,7,18,34,6,13,18,53,23,50,0,1,52,42
191,2021-09-05,2,0,69,26,61,34,26,13,64,82,36,75,50,0,54,38,9,17,0,42,70,40,9,25,12,4,31,0,72,44,18,44,4,0,55,26,0,45,7,19,24,65,14,27,30,20,50,0,2,55,47
192,2021-09-12,2,0,69,25,42,29,16,12,38,84,34,65,28,26,54,33,5,11,0,54,58,41,6,36,12,3,46,0,72,47,19,41,2,37,54,25,0,51,5,20,17,38,10,23,25,20,52,51,1,59,81
193,2021-09-19,2,0,74,0,44,17,21,25,34,79,28,60,35,13,53,32,11,12,0,29,61,55,10,24,14,3,25,26,68,44,14,29,2,0,50,17,0,52,9,18,58,19,17,18,33,13,55,0,0,52,46
194,2021-09-26,2,49,71,0,51,21,17,0,43,80,37,55,31,13,51,31,14,15,0,55,65,48,7,24,17,4,28,13,64,37,16,32,66,0,59,8,0,56,9,21,40,13,17,15,34,13,54,52,3,46,60
195,2021-10-03,2,0,67,0,68,17,14,36,81,80,37,58,34,13,58,21,20,9,0,72,67,61,9,36,5,5,28,26,64,37,13,38,10,18,57,25,0,53,24,21,40,19,3,26,31,26,53,0,7,48,34
196,2021-10-10,2,0,76,26,47,24,23,0,49,82,43,61,29,66,62,29,16,13,0,50,62,43,7,24,12,5,38,0,64,33,18,44,0,19,56,61,27,50,8,21,29,46,14,15,33,14,68,0,1,44,59
197,2021-10-17,1,0,73,0,39,10,20,49,39,76,28,57,33,13,54,39,11,13,0,47,65,49,8,24,9,6,30,13,66,38,22,38,4,0,58,34,27,51,9,20,23,39,7,33,40,0,61,0,2,44,60
198,2021-10-24,2,100,69,0,34,10,16,25,59,77,25,52,36,26,57,38,15,19,0,38,66,49,8,12,14,10,43,26,58,40,16,32,4,56,61,9,0,55,16,27,35,32,7,21,35,17,64,0,0,45,59
199,2021-10-31,2,50,71,26,36,24,20,12,29,79,34,52,28,40,55,31,14,14,74,47,56,59,9,0,12,17,14,13,58,36,19,30,2,38,58,35,0,54,17,19,23,26,7,25,40,10,54,53,11,51,80
200,2021-11-07,1,99,68,26,41,21,16,12,53,84,35,63,30,39,54,39,12,15,36,44,63,42,9,24,10,19,30,39,55,37,13,36,0,0,55,0,0,51,20,22,29,38,14,29,31,20,65,52,13,47,81
201,2021-11-14,1,49,66,0,42,13,24,12,43,79,35,66,30,26,55,33,5,14,0,17,61,51,6,24,12,32,41,13,61,41,23,24,4,0,60,17,0,62,8,30,34,57,17,27,58,7,50,0,10,44,82
202,2021-11-21,2,51,68,0,32,24,16,25,64,72,38,49,28,27,57,23,17,32,0,30,78,33,6,37,11,45,26,40,62,32,14,21,0,19,49,17,0,36,18,38,18,33,14,21,35,10,54,53,37,46,81
203,2021-11-28,1,0,63,0,34,17,13,0,37,78,25,54,22,0,54,20,18,17,35,58,64,43,7,23,13,66,27,0,57,47,27,31,6,0,53,24,51,50,6,27,33,30,0,35,28,13,47,99,37,48,73
204,2021-12-05,1,0,69,0,43,15,14,24,81,80,29,52,17,13,53,24,15,23,0,51,56,51,6,12,9,70,30,39,54,41,30,36,2,0,61,34,53,51,8,15,17,44,7,23,39,26,48,0,37,48,47
205,2021-12-12,1,0,69,0,38,20,15,0,54,82,38,43,35,13,57,21,19,31,0,41,58,88,6,0,5,64,45,40,63,46,18,39,2,19,53,9,0,48,2,28,12,26,7,29,42,54,46,0,50,44,54
206,2021-12-19,1,0,68,0,30,13,15,13,47,81,39,37,22,14,61,20,37,36,0,28,77,38,7,26,6,54,15,0,59,33,22,43,2,100,63,28,0,39,15,28,13,28,7,20,46,14,44,0,75,50,74
207,2021-12-26,1,0,69,0,36,8,17,25,25,83,47,41,36,53,66,19,35,25,0,30,72,30,6,0,0,43,33,13,60,48,15,18,2,0,56,17,0,44,21,21,24,20,17,18,33,7,46,53,31,37,66
208,2022-01-02,1,0,69,51,31,8,19,36,33,79,32,65,51,26,59,21,11,13,0,43,74,38,8,35,15,15,16,51,58,30,18,28,2,18,59,0,0,62,13,14,11,44,7,41,25,23,42,0,7,32,72
209,2022-01-09,1,50,67,26,33,10,17,12,39,87,34,57,41,26,50,27,12,12,36,26,71,32,6,48,12,10,18,0,67,34,14,29,2,37,73,51,27,53,12,16,35,32,10,37,21,17,38,52,3,47,84
210,2022-01-16,1,49,66,0,33,19,19,0,48,76,32,62,30,26,49,31,12,49,0,37,59,55,6,12,12,6,16,26,56,28,21,51,6,18,69,42,0,48,7,16,40,45,7,16,14,23,42,52,5,39,77
211,2022-01-23,1,0,65,0,32,16,19,12,64,80,28,71,31,0,52,27,8,54,0,47,71,53,7,49,11,6,24,13,49,27,15,45,2,0,75,9,27,60,11,15,24,33,17,29,26,44,40,53,0,36,89
212,2022-01-30,1,0,76,0,37,22,19,0,45,84,32,65,37,0,64,37,16,16,0,39,64,67,8,13,16,5,28,54,52,38,14,33,4,19,76,18,28,60,9,15,24,40,0,31,29,17,34,0,0,45,98
213,2022-02-06,1,52,76,0,39,16,18,38,40,75,41,63,27,41,53,42,11,13,0,33,71,54,10,25,25,4,26,0,58,28,13,35,2,0,65,9,28,56,13,16,42,27,4,24,29,17,41,0,4,42,100
214,2022-02-13,1,0,71,0,37,18,15,26,81,85,34,71,30,14,62,26,10,12,38,39,60,57,6,50,13,4,30,0,48,36,17,36,2,39,69,18,0,51,11,18,24,34,7,17,25,10,41,0,4,43,66
215,2022-02-20,1,51,73,26,23,20,15,25,59,81,51,65,36,27,62,25,16,14,0,38,83,33,7,0,5,3,22,13,60,34,16,30,0,0,70,26,0,50,9,23,18,26,14,35,39,24,37,0,5,39,89
216,2022-02-27,1,0,75,0,34,10,14,0,64,76,35,63,44,13,56,29,12,13,37,32,64,88,8,12,9,2,32,13,56,34,17,41,12,37,100,26,0,61,8,16,29,26,17,31,28,0,45,0,2,43,64
