,date,Noe Valley,Russian Hill,Scream,Potrero Hill,Lower Pacific Heights,Upper Market,Florida Panhandle,Hayes Valley,Walt Disney World® Resort,Silver Terrace,Excélsior,South Beach,SoMa,Bayview,Telegraph Hill,Outer Sunset,Pork tenderloin,Diamond Heights,Marina,Glen Park,Duboce Triangle,Financial District,Downtown,Nob Hill,Mission Bay,Inner Richmond,Pacific Heights,Lonely Planet New Zealand,Missionary,LaGuardia Airport,Bernal Heights,Alamo Square,Outer Richmond,Crocker Amazon,Parkmerced
202,2021-11-21,41,50,3,32,35,3,34,32,34,4,37,27,50,18,10,48,47,19,0,29,42,44,35,28,32,39,40,38,30,8,8,32,19,72,0
203,2021-11-28,44,24,3,32,27,3,33,30,0,4,40,31,38,11,38,49,38,31,0,7,50,12,26,26,26,32,38,33,9,29,16,40,25,67,31
204,2021-12-05,40,34,3,24,43,3,32,28,0,5,43,35,32,6,19,59,17,26,0,14,40,6,0,36,13,34,36,36,16,7,25,21,18,69,0
205,2021-12-12,60,32,5,32,42,3,37,29,17,5,36,33,36,0,25,58,52,17,0,28,35,6,14,46,33,44,38,27,16,38,0,4,27,79,33
206,2021-12-19,53,40,8,20,31,3,30,28,0,5,48,38,28,13,37,78,37,23,0,15,35,7,15,20,18,35,37,20,15,49,4,42,28,81,0
207,2021-12-26,51,41,9,28,19,4,28,36,17,4,53,25,45,6,55,84,29,19,0,14,41,13,21,14,22,22,35,25,19,46,4,43,37,90,0
208,2022-01-02,51,42,19,31,30,6,26,39,0,4,50,37,51,18,48,65,28,30,52,7,24,12,13,18,11,25,36,50,7,44,8,48,33,72,32
209,2022-01-09,54,23,100,45,17,5,38,39,0,4,53,27,40,12,44,66,29,27,0,35,34,31,40,23,15,27,26,35,14,23,17,28,37,72,0
210,2022-01-16,43,45,88,33,28,4,42,37,0,4,55,32,28,18,34,66,17,27,0,21,33,18,60,27,16,26,30,49,9,30,17,24,10,79,0
211,2022-01-23,39,49,35,40,17,4,26,37,0,4,56,22,26,0,10,66,18,35,0,35,35,31,41,28,27,24,30,33,16,46,17,25,13,76,33
212,2022-01-30,73,27,28,28,40,5,24,37,17,5,61,47,39,0,41,68,12,53,0,22,33,6,35,33,20,26,36,38,14,31,26,48,27,77,0
213,2022-02-06,66,33,19,35,40,4,24,38,35,5,63,24,39,0,26,61,36,43,0,29,39,0,42,14,17,28,31,51,24,8,9,29,16,80,0
214,2022-02-13,59,33,22,22,40,4,37,41,0,4,59,30,24,13,26,53,24,47,0,29,33,13,21,52,10,26,41,28,14,0,9,18,25,82,0
215,2022-02-20,54,32,22,28,60,4,37,40,17,4,68,33,36,24,55,58,29,53,0,28,36,19,34,23,22,28,41,19,16,38,21,14,19,78,0
216,2022-02-27,56,46,23,37,27,6,25,38,0,4,65,24,31,6,35,59,46,49,0,28,35,12,34,41,28,29,38,23,21,23,13,32,24,72,0
