City,date,index_ratio
Boston,2018-01,0.005414643656968301
Boston,2018-02,0.005446592573241302
Boston,2018-03,0.005406270693625993
Boston,2018-04,0.0053930366027239015
Boston,2018-05,0.005401588798359744
Boston,2018-06,0.005395515433347641
Boston,2018-07,0.005367863103720099
Boston,2018-08,0.005318299613970934
Boston,2018-09,0.0052735230598970695
Boston,2018-10,0.005260180515226653
Boston,2018-11,0.0052139657107976144
Boston,2018-12,0.005205966137756945
Boston,2019-01,0.005256646701595134
Boston,2019-02,0.005300261821342635
Boston,2019-03,0.005381201260202317
Boston,2019-04,0.005435380492063204
Boston,2019-05,0.0054291719602619585
Boston,2019-06,0.005443314143768868
Boston,2019-07,0.005465969867746587
Boston,2019-08,0.005495581114202887
Boston,2019-09,0.005446311496444598
Boston,2019-10,0.005407297022191324
Boston,2019-11,0.005420026391997029
Boston,2019-12,0.0054219571147664505
Boston,2020-01,0.005474753071793582
Boston,2020-02,0.0055236032851428115
Boston,2020-03,0.005526067265842274
Boston,2020-04,0.005473168597601078
Boston,2020-05,0.005460727876924278
Boston,2020-06,0.005439545761412507
Boston,2020-07,0.00538018682782683
Boston,2020-08,0.005217212655541044
Boston,2020-09,0.0050853491722307395
Boston,2020-10,0.004930359925937097
Boston,2020-11,0.004853521049600064
Boston,2020-12,0.004853022551405798
Boston,2021-01,0.004935724495958354
Boston,2021-02,0.004978907029322802
Boston,2021-03,0.005017426177036414
Boston,2021-04,0.005127948582246976
Boston,2021-05,0.005199548525967136
Boston,2021-06,0.005238781756881469
Boston,2021-07,0.0052595446698975555
Boston,2021-08,0.005287728094124763
Boston,2021-09,0.005318161370887728
Boston,2021-10,0.005316173842539858
Boston,2021-11,0.005398718676116934
Boston,2021-12,0.005370572415510411
Boston,2022-01,0.00538949642048937
Boston,2022-02,0.005338849885209183
Boston,2022-03,0.0053698289271655805
Chicago,2018-01,0.009069750910154502
Chicago,2018-02,0.009049924966147035
Chicago,2018-03,0.009038554282633103
Chicago,2018-04,0.009105140485493638
Chicago,2018-05,0.00917713707891405
Chicago,2018-06,0.009231951473732363
Chicago,2018-07,0.009185684307765845
Chicago,2018-08,0.009129355454544527
Chicago,2018-09,0.00904165231004324
Chicago,2018-10,0.00896537189549322
Chicago,2018-11,0.008915523207858456
Chicago,2018-12,0.008847866829573512
Chicago,2019-01,0.0089056927699418
Chicago,2019-02,0.008926716927493071
Chicago,2019-03,0.009004737431382212
Chicago,2019-04,0.009057847125264995
Chicago,2019-05,0.009133120933233289
Chicago,2019-06,0.009232526550068312
Chicago,2019-07,0.009322152877401405
Chicago,2019-08,0.009348284095708929
Chicago,2019-09,0.009322566431026583
Chicago,2019-10,0.009290946341307244
Chicago,2019-11,0.009196987534646378
Chicago,2019-12,0.009219592835947149
Chicago,2020-01,0.009283362180479017
Chicago,2020-02,0.009344746260996501
Chicago,2020-03,0.009407538089941162
Chicago,2020-04,0.009385400707185493
Chicago,2020-05,0.009390783717515887
Chicago,2020-06,0.009467541657338248
Chicago,2020-07,0.009361070832098585
Chicago,2020-08,0.009252597076120831
Chicago,2020-09,0.009180126315119613
Chicago,2020-10,0.008892200235705625
Chicago,2020-11,0.008701180284905503
Chicago,2020-12,0.008668188627057557
Chicago,2021-01,0.008679681535187138
Chicago,2021-02,0.008653631081822202
Chicago,2021-03,0.008672983046370798
Chicago,2021-04,0.008753706839013586
Chicago,2021-05,0.008778369722860715
Chicago,2021-06,0.008937863135108103
Chicago,2021-07,0.008888097524848829
Chicago,2021-08,0.008888107442078226
Chicago,2021-09,0.008790385117630741
Chicago,2021-10,0.008781167066664892
Chicago,2021-11,0.008753451074057363
Chicago,2021-12,0.008762729399540207
Chicago,2022-01,0.00879421567107267
Chicago,2022-02,0.008857614058901576
Chicago,2022-03,0.008917021150589885
Detroit,2020-05,0.024408744886625307
Detroit,2020-06,0.02443018604526296
Detroit,2020-07,0.021265736975989175
Detroit,2020-08,0.022455142575157405
Detroit,2020-09,0.022785296434129756
Detroit,2020-10,0.02185787830981923
Detroit,2020-11,0.021804393927027536
Detroit,2020-12,0.020517782762137015
Detroit,2021-01,0.019878078876107503
Detroit,2021-02,0.020832768008757115
Detroit,2021-03,0.020489633956850037
Detroit,2021-04,0.01955140974395142
Detroit,2021-05,0.01831609260756179
Detroit,2021-06,0.018649976163614676
Detroit,2021-07,0.019370962184760122
Detroit,2021-08,0.019105709564949534
Detroit,2021-09,0.018377529873898332
Detroit,2021-10,0.01795102823864056
Detroit,2021-11,0.017759432999332695
Detroit,2021-12,0.017241154358688435
Detroit,2022-01,0.017420004743097472
Detroit,2022-02,0.01729663384586637
Detroit,2022-03,0.01747352031886509
Los Angeles,2018-01,0.00537159861076352
Los Angeles,2018-02,0.005344140277068979
Los Angeles,2018-03,0.005286421568570542
Los Angeles,2018-04,0.005273678440563763
Los Angeles,2018-05,0.0052888720867114184
Los Angeles,2018-06,0.005289574964313982
Los Angeles,2018-07,0.005301595480346627
Los Angeles,2018-08,0.005314782757140403
Los Angeles,2018-09,0.005308167523523782
Los Angeles,2018-10,0.005275377647265391
Los Angeles,2018-11,0.005264322898752976
Los Angeles,2018-12,0.005269314116755813
Los Angeles,2019-01,0.005292339722009696
Los Angeles,2019-02,0.0053070335606245625
Los Angeles,2019-03,0.005329338173215545
Los Angeles,2019-04,0.005357740391422113
Los Angeles,2019-05,0.005390223624387864
Los Angeles,2019-06,0.0053848167871945185
Los Angeles,2019-07,0.005425374761069549
Los Angeles,2019-08,0.005453401576409567
Los Angeles,2019-09,0.005451185197314554
