RegionID,SizeRank,Neighborhood,RegionType,StateName,State,City,Metro,CountyName,Date,Prices,MeanPrices,Year,Month
403304,2522,Old Town Triangle,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2347.315023804356,2342.2065823019093,2018,01
403301,1436,Old Town,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2202.035753725501,2210.4728956076624,2018,01
269593,1282,The Loop,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2509.473100327008,2391.7163404290004,2018,01
269590,1026,Lincoln Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2183.261369341481,2135.0174462435593,2018,01
403303,968,Gold Coast,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2107.2115079598357,2060.059432094331,2018,01
403322,2726,West Loop Gate,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2839.739009969374,2745.760859144898,2018,01
403342,2830,New Eastside,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,3122.4250063370696,3159.525983277053,2018,01
269603,882,O'Hare,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,949.884082571391,1024.3349715418206,2018,01
403141,782,University Village - Little Italy,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2016.2509760818962,2048.3397584662102,2018,01
403300,3091,River North,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2863.882686892205,2846.613584115598,2018,01
269586,692,Hyde Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,1103.1265939493614,1305.8311222361867,2018,01
137603,689,Bucktown,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2838.623430607425,2945.46257534342,2018,01
269600,653,North Center,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2366.651732744805,2308.810250877299,2018,01
269599,889,Near West Side,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2836.419481136257,2794.6629381695548,2018,01
269566,154,Albany Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,1033.2441631866209,1141.0692236609877,2018,01
269609,159,Uptown,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,1339.7019766898313,1683.7999736331335,2018,01
269592,53,Logan Square,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,2021.6021291188872,2322.33585044503,2018,01
269605,171,Rogers Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,1026.0155717112277,1100.3609191644666,2018,01
403169,106,West Rogers Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,881.4800212070057,992.0834250687049,2018,01
269589,163,Lake View,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,2018-01,1830.5478261964827,1828.4963695718068,2018,01
268010,1374,Atwater Village,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3587.8250020942105,3841.2956234209196,2018,01
268097,493,Crenshaw,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2393.793833302035,2825.044241316323,2018,01
274359,440,Los Feliz,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3191.1055866962724,3276.577119299464,2018,01
27484,457,Tujunga,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2299.3933593164775,2674.7374469537513,2018,01
116206,368,Lincoln Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2427.1998050623733,2677.5316372818847,2018,01
268548,131,Valley Glen,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2545.4018324922245,2685.641532362974,2018,01
114808,382,Eagle Rock,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3361.6269845949596,3664.5184329200306,2018,01
27080,85,Sherman Oaks,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2248.078477787854,2379.278941239982,2018,01
113910,360,Brentwood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3342.8263894572874,3451.50406097152,2018,01
268316,2365,Montecito Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2522.373789247881,2773.077581197023,2018,01
21056,351,Venice,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,6722.475087391358,6733.604122587516,2018,01
274514,62,Mid City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3151.140893032192,3516.568414180527,2018,01
268134,529,Echo Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3719.080014148217,4032.675371093934,2018,01
48570,83,Woodland Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1753.955864780941,1839.062574253881,2018,01
268236,82,Koreatown,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2131.283809194023,2240.379453915135,2018,01
116774,750,Mount Washington,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3472.840562232207,2531.9543400307966,2018,01
40215,86,Pacoima,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1505.0950727428788,1851.4282482109206,2018,01
27328,866,Sunland,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2388.169769556566,2728.130355536748,2018,01
54300,79,San Pedro,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1930.6438578847847,2089.6733824893495,2018,01
276514,886,Playa Del Rey,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2736.7489182048416,2836.2143542760277,2018,01
276023,99,Westlake,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2929.395930781264,2437.906824365616,2018,01
40548,100,Reseda,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1439.4219081276842,1572.9958469383453,2018,01
46795,78,North Hollywood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1943.218770232582,2094.5276670269773,2018,01
113886,75,Boyle Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1961.0578492189277,2283.0331217610146,2018,01
268057,628,Central City East,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2886.80452539652,2989.409442679399,2018,01
34213,74,Sylmar,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1725.45416255223,2039.4690159021386,2018,01
41131,68,Sun Valley,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2829.0490971335907,2504.9262347637527,2018,01
41466,64,Van Nuys,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1494.5452530713392,1662.2219389844406,2018,01
275024,556,Pico-Robertson,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3305.4884075138702,3436.805569887309,2018,01
273825,540,Glassell Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3259.5612393918423,3609.8707630802837,2018,01
19810,538,Pacific Palisades,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,4627.691290757473,4365.749988406127,2018,01
