RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
273934,4925,Harbour Island,Neighborhood,FL,FL,Tampa,Tampa-St. Petersburg-Clearwater,Hillsborough County,324401,327849,331873,334349,335235,336906,339719,342803,345240,346570,346920,348459,351025,353690,355643,357313,359928,360396,360333,358946,357731,356571,355602,355464,356665,360358,364368,368191,370550,372990,374634,377437,380065,383020,383791,385614,388017,392855,397497,401444,406377,415629,428370,440546,450798,459872,470450,479099,490603,500987,518519
403294,4932,Wrigleyville,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,477484,482227,484011,482040,480198,479254,478865,478721,478722,479830,482368,485323,484759,483794,481733,481201,480016,478978,478220,475965,473949,471379,470391,470007,470457,470184,469629,469316,468752,469132,470712,473348,477513,481536,485783,488543,488826,490074,490053,492309,492911,495897,499543,504091,506298,508916,510578,511979,512706,512982,515471
272239,4936,Schenk-Atwood,Neighborhood,WI,WI,Madison,Madison,Dane County,219848,221702,223997,225692,227755,228621,229952,230108,232029,232398,233655,235393,237466,239413,239800,240083,239844,240334,240473,239382,237514,236023,235238,235157,235666,237021,241036,243641,245621,244827,245222,245276,245780,245921,247552,248534,249680,251703,253441,255242,255652,258593,261602,265965,267480,270177,272898,276677,280087,283354,288330
273882,4942,Mount Washington,Neighborhood,MD,MD,Baltimore,Baltimore-Columbia-Towson,Baltimore City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156500,158755,162652,166421,169082,170683,171070,171060,169711,169700,170764,174157,177390,179832
275957,4953,West Central,Neighborhood,IN,IN,Fort Wayne,Fort Wayne,Allen County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140271,141051,143630,146395,149507,150308,154231,156676,159977,160056,161663,163333,165581,167578,169461,171653,174134,176379,178477
272016,4956,West Hills,Neighborhood,WA,WA,Spokane,Spokane-Spokane Valley,Spokane County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294626
762641,4968,Ball Square,Neighborhood,MA,MA,Somerville,Boston-Cambridge-Newton,Middlesex County,743934,751284,757321,760434,758509,755551,751964,746638,744951,748285,755411,759727,759759,756172,752110,752308,754721,760036,758273,758315,760385,769139,774018,777436,777789,775968,773770,771321,766972,761229,755409,758563,761928,772918,780898,790004,790036,792172,791652,795812,802730,814953,822879,830657,834993,846166,850713,854792,855581,858158,866332
271138,4972,Sullivan's Gulch,Neighborhood,OR,OR,Portland,Portland-Vancouver-Hillsboro,Multnomah County,311235,312251,314874,317149,318038,316680,314060,312360,311651,311950,312258,313510,314548,314736,313862,313931,312998,311596,309481,308478,307642,308891,311661,312788,312052,310650,315354,319435,321480,320367,319949,322059,324389,326884,327412,326751,325098,324941,325307,326216,327148,328733,331991,333629,334267,331354,330245,328315,330335,333524,340417
762190,4975,Corey Hill,Neighborhood,MA,MA,Brookline,Boston-Cambridge-Newton,Norfolk County,812495,819544,828792,834546,838281,836885,837122,836943,835421,834574,834408,833193,835615,833580,832660,830105,830957,833753,831742,830631,826070,824987,824614,831888,840441,847548,851869,848968,849530,843806,845602,846027,853529,861642,870348,875995,879316,883368,888002,892463,895649,899716,902411,904472,903612,906979,913348,918034,920187,925089,935615
269285,4977,Candler Park,Neighborhood,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,197405,197516,199755,202796,208935,213109,217962,219496,219519,218747,218801,218992,218955,220121,219427,218046,215396,213297,212086,212115,213053,214010,219039,223302,228453,228565,227224,222759,215339,209035,205986,208855,214021,217944,223022,227429,232419,232324,232068,231206,233884,238970,242753,243750,242526,243454,244033,245749,247413,250159,253117
416055,4980,Cross Creek,Neighborhood,OH,OH,Columbus,Columbus,Franklin County,105784,105481,105995,107618,109366,110542,112131,113362,114338,114857,115420,116080,116989,117822,118682,119511,120730,121810,122093,122389,122554,123199,124145,125620,126979,127385,127435,128190,129137,130788,131513,132892,133396,133633,134384,136111,138630,140624,142533,144323,146102,148754,151307,153622,154856,156525,158084,159443,160276,162109,163777
760925,4981,The Brooks,Neighborhood,FL,FL,Bonita Springs,Cape Coral-Fort Myers,Lee County,273652,273417,271577,269762,267608,266413,265169,266063,269212,271387,273092,273492,271241,269266,265228,264893,262464,261498,261573,263686,267350,267998,268543,266801,266484,264476,262090,261780,262006,261833,261944,264069,268260,271457,274680,276966,279256,280179,283058,286223,291707,298673,306738,317151,330538,343678,353535,360538,368866,383208,398968
270081,4983,Westnedge Hill,Neighborhood,MI,MI,Kalamazoo,Kalamazoo-Portage,Kalamazoo County,,118912,116724,116728,117832,119511,120712,121074,121446,121617,121957,122720,123936,124690,125340,125920,126676,126133,125308,125413,127689,130379,132457,133704,134138,133937,133221,133149,133225,135415,138189,141785,144616,148666,152750,156588,158355,158623,158977,160396,163240,164798,166659,168577,171086,172793,174078,175839,177617,179989,180461
