City,date,housing_price,roomtype
Los Angeles,2018-10,527165.8958333334,1bed
Los Angeles,2018-11,529106.9166666666,1bed
Los Angeles,2018-12,528591.875,1bed
Los Angeles,2019-01,528372.0625,1bed
Los Angeles,2019-02,526988.1041666666,1bed
Los Angeles,2019-03,525566.1666666666,1bed
Los Angeles,2019-04,524904.7083333334,1bed
Los Angeles,2019-05,524787.9791666666,1bed
Los Angeles,2019-06,525578.2708333334,1bed
Los Angeles,2019-07,521762.2083333333,1bed
Los Angeles,2019-08,519646.9791666667,1bed
Los Angeles,2019-09,519163.4166666667,1bed
Los Angeles,2019-10,523136.875,1bed
Los Angeles,2019-11,525360.2708333334,1bed
Los Angeles,2019-12,527066.6041666666,1bed
Los Angeles,2020-01,528756.1041666666,1bed
Los Angeles,2020-02,532818.6458333334,1bed
Los Angeles,2020-03,536337.2291666666,1bed
Los Angeles,2020-04,534160.659574468,1bed
Los Angeles,2020-05,536323.4583333334,1bed
Los Angeles,2020-06,533684.5,1bed
Los Angeles,2020-07,535471.9166666666,1bed
Los Angeles,2020-08,541670.3541666666,1bed
Los Angeles,2020-09,548576.8333333334,1bed
Los Angeles,2020-10,554299.1458333334,1bed
Los Angeles,2020-11,559223.7291666666,1bed
Los Angeles,2020-12,563619.4897959183,1bed
Los Angeles,2021-01,566669.0612244898,1bed
Los Angeles,2021-02,570623.4897959183,1bed
Los Angeles,2021-03,572412.5918367347,1bed
Los Angeles,2021-04,574617.4285714285,1bed
Los Angeles,2021-05,579059.6041666666,1bed
Los Angeles,2021-06,580801.3617021276,1bed
Los Angeles,2021-07,592254.8333333334,1bed
Los Angeles,2021-08,595467.5102040817,1bed
Los Angeles,2021-09,601339.659574468,1bed
Los Angeles,2021-10,596811.0212765958,1bed
Los Angeles,2021-11,594015.6808510638,1bed
Los Angeles,2021-12,605721.8085106383,1bed
Los Angeles,2022-01,607374.6875,1bed
Los Angeles,2022-02,606051.7551020408,1bed
Los Angeles,2022-03,614920.7551020408,1bed
New York,2018-01,636532.6849315069,1bed
New York,2018-02,636570.2328767123,1bed
New York,2018-03,636570.8767123288,1bed
New York,2018-04,637539.6575342466,1bed
New York,2018-05,638185.2739726028,1bed
New York,2018-06,637779.3561643836,1bed
New York,2018-07,637355.0273972603,1bed
New York,2018-08,638975.2083333334,1bed
New York,2018-09,637541.8194444445,1bed
New York,2018-10,632849.0410958905,1bed
New York,2018-11,636667.2777777778,1bed
New York,2018-12,633870.7123287672,1bed
New York,2019-01,632797.3424657534,1bed
New York,2019-02,630380.0136986302,1bed
New York,2019-03,628039.4794520548,1bed
New York,2019-04,624304.5810810811,1bed
New York,2019-05,623387.1216216217,1bed
New York,2019-06,622008.2567567568,1bed
New York,2019-07,620625.0540540541,1bed
New York,2019-08,617738.972972973,1bed
New York,2019-09,614628.472972973,1bed
New York,2019-10,611859.6621621621,1bed
New York,2019-11,610073.4459459459,1bed
New York,2019-12,614337.0,1bed
New York,2020-01,608557.8783783783,1bed
New York,2020-02,608489.0675675676,1bed
New York,2020-03,608899.2702702703,1bed
New York,2020-04,612117.1643835617,1bed
New York,2020-05,609356.7702702703,1bed
New York,2020-06,605640.6133333333,1bed
New York,2020-07,611602.3648648649,1bed
New York,2020-08,605107.1333333333,1bed
New York,2020-09,602277.8767123288,1bed
New York,2020-10,603515.5066666667,1bed
New York,2020-11,604894.5405405406,1bed
New York,2020-12,605548.9866666667,1bed
New York,2021-01,605091.48,1bed
New York,2021-02,603931.7866666666,1bed
New York,2021-03,601815.52,1bed
New York,2021-04,599752.88,1bed
New York,2021-05,599534.7733333333,1bed
New York,2021-06,601453.2533333333,1bed
New York,2021-07,605059.3513513514,1bed
New York,2021-08,608874.8918918918,1bed
New York,2021-09,613105.8108108108,1bed
New York,2021-10,613294.0789473684,1bed
New York,2021-11,613857.5194805195,1bed
New York,2021-12,616440.9736842106,1bed
New York,2022-01,617792.7792207792,1bed
New York,2022-02,620527.6103896104,1bed
New York,2022-03,625980.552631579,1bed
Philadelphia,2018-01,256024.82352941178,1bed
Philadelphia,2018-02,257124.41176470587,1bed
Philadelphia,2018-03,257829.70588235295,1bed
Philadelphia,2018-04,260175.76470588235,1bed
Philadelphia,2018-05,260886.58823529413,1bed
Philadelphia,2018-06,260529.82352941178,1bed
Philadelphia,2018-07,260607.76470588235,1bed
Philadelphia,2018-08,261131.0588235294,1bed
