RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
274772,0,Northeast Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,454578,462133,468042,469049,468631,469552,471757,478234,479752,480094,477214,478407,484319,489790,494464,493167,490809,488527,487884,490563,494493,493327,489890,485536,490582,495218,499953,498201,496126,494724,496165,501683,508705,515914,519695,523211,529977,538394,546248,551309,557267,565882,576190,591719,607315,618572,623942,627319,635051,647487,660519
112345,1,Maryvale,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,171726,173117,174320,175413,176944,178506,180004,180982,182449,183685,184282,184928,185695,187480,188754,189927,190389,190745,191230,192504,193595,194132,194221,195258,197260,199055,201298,203758,205779,207339,209699,213441,218533,224393,231562,237321,242932,246363,252818,258455,267076,274725,282298,289085,292071,295946,298535,304696,309636,316908,320608
192689,2,Paradise,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,297291,300955,302830,305711,308011,312049,315586,319435,321995,323681,324484,326075,327595,329198,329390,330508,330775,330552,328715,326868,325383,325731,327528,329231,330968,332334,335223,338260,338760,336918,336184,339029,344265,348613,352562,356588,360598,364214,368363,373398,382986,395254,408223,418334,426931,434645,442623,449541,460158,471379,484627
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,5293705,5295820,5325424,5322540,5322648,5264922,5214582,5138677,5111027,5084008,5107822,5144817,5111980,5061038,4989173,4982520,4986207,4993943,5002395,5016505,5002434,5007133,4991297,4993007,4966292,4940202,4916217,4908549,4902653,4892388,4835494,4773873,4688312,4656422,4652802,4678359,4620407,4512514,4415518,4388464,4419297,4411809,4410108,4392384,4403814,4403668,4401332,4400387,4417761,4456506,4503436
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,505836,513068,520692,526575,531604,535863,538683,540471,542742,546948,550760,553156,554943,555521,555938,558214,561576,564207,563919,564707,568446,574083,578712,583148,587887,593958,599235,603687,603059,602473,605605,614379,624387,633156,638776,642801,646589,653738,662085,671992,685472,700424,718152,729675,738611,740608,742980,746774,751525,759127,771533
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,5222363,5274805,5342052,5278457,5188348,5091629,5069450,5051330,5052620,5023630,4997427,4954443,4899393,4862975,4820284,4782313,4751404,4736523,4739524,4715686,4698209,4682673,4689756,4698842,4726789,4754075,4771394,4791719,4817928,4845821,4786113,4709946,4575946,4523135,4494278,4511584,4473403,4442887,4418320,4433768,4425803,4412970,4398753,4374791,4357964,4356024,4373049,4384715,4402690,4419037,4446983
192820,6,Sunrise Manor,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,223254,226268,227861,230529,232907,236755,240048,243666,246199,248081,249024,250807,252743,254847,255798,257380,258375,258832,257979,257021,256144,256383,257642,258908,260373,261385,263717,266103,266550,264938,264093,266167,270308,273738,276781,279737,282687,285575,289005,293209,300817,310613,321177,329423,336444,342860,349585,355447,363675,372428,382889
192796,7,Spring Valley,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,317613,321398,323308,326251,328768,333041,337148,341133,343577,344823,345255,346826,348421,350241,350516,351788,352052,351584,349522,347529,346097,346401,348011,349430,350673,351511,353822,356442,356579,354235,353221,355627,360704,364684,368492,372301,376224,379965,384342,389548,399286,412210,426001,436973,446060,454439,463331,471329,483150,495453,509917
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,409218,413204,417295,421534,423406,425917,428036,431786,435657,439760,442848,444565,446454,446262,446927,449380,452706,455416,455650,458069,461460,465836,468120,470906,474397,480848,487208,491162,490587,489802,493631,501090,509318,514319,517961,521422,525282,530717,535270,541813,550066,561386,574535,582467,586811,587149,589354,590927,592934,596526,604823
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,532837,536886,541640,544480,548065,552704,561609,568316,573089,576197,579609,581682,583585,586333,589141,591950,594863,592989,591270,585862,584742,581370,582674,586536,590256,594140,597835,605494,613303,620028,624772,627537,632585,637262,646029,649861,655790,660535,665983,669726,667621,668520,670474,679825,687594,692136,692393,690664,690006,689728,693679
