RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
274586,5529,Moorings,Neighborhood,FL,FL,Naples,Naples-Immokalee-Marco Island,Collier County,2786023,2809103,2819689,2831547,2836038,2852074,2855062,2849416,2837039,2832629,2854170,2869218,2893629,2893128,2889439,2874615,2864051,2843193,2831362,2811878,2795546,2770943,2750171,2757292,2765725,2782815,2820270,2860571,2879506,2861706,2844278,2852301,2876942,2896155,2918844,2935496,2963217,2994370,3066955,3157180,3279494,3379636,3521499,3648138,3793946,3947444,4120439,4283312,4432100,4599605,4812028
271207,5530,Perry South,Neighborhood,PA,PA,Pittsburgh,Pittsburgh,Allegheny County,90879,93060,97279,101843,104127,106407,108511,111520,111201,107877,104336,101983,101341,99919,97717,95695,94248,93867,94576,96603,98510,101846,102131,104146,105799,111205,115213,118484,119415,120663,123842,129403,135981,143200,151960,159592,164059,164356,161124,159682,160968,163034,162776,160429,160487,162718,162675,162463,159444,156975,153537
762418,5543,Cannonborough-Elliottbororugh,Neighborhood,SC,SC,Charleston,Charleston-North Charleston,Charleston County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846472,846546,854675,860168,873445,890502,911289,926338,936203,944352,954528,974393,1001067,1034314
414277,5547,Maple Ridge,Neighborhood,OK,OK,Tulsa,Tulsa,Tulsa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798662,811983,817484,822672,826686,836774,847029,852080,856811,864961,880696,899018,914351,931100,945799,959480
38781,5556,Great Neck Estates,Neighborhood,NY,NY,Great Neck,New York-Newark-Jersey City,Nassau County,1984929,1996804,2001387,1995815,1991404,1978484,1964196,1950774,1950182,1958807,1963486,1967636,1971365,1976514,1979276,1978744,1972056,1961260,1937116,1923070,1915999,1909242,1901928,1891751,1892536,1888461,1885310,1888883,1896380,1898877,1905273,1907882,1936858,1954780,1974669,1979426,1989276,2007078,2025648,2040462,2030700,2030323,2039406,2071658,2089193,2106815,2120123,2138706,2160402,2189488,2224727
763461,5562,Parkside at Mayfield Ranch,Neighborhood,TX,TX,Georgetown,Austin-Round Rock,Williamson County,448413,450908,450454,448961,446094,445733,445537,447184,449992,451397,450960,454130,460207,468140,471561,472491,474653,479501,484652,488070,491227,482214,473174,463585,462848,462113,461974,466534,470805,472486,478537,485482,496503,505044,515501,523223,528283,541469,570361,612252,654533,695017,728166,754362,771396,789822,811340,830936,852367,873261,893898
762827,5565,King Farm,Neighborhood,MD,MD,Rockville,Washington-Arlington-Alexandria,Montgomery County,865934,869952,872938,878326,876543,875446,872740,872686,871416,865938,860983,857613,859745,857004,851820,845175,842765,845979,848099,850294,847584,849431,851645,853004,849193,845709,845687,847302,849964,853366,855222,858607,861863,869996,876809,883590,887168,893250,901139,907090,906922,908970,915173,924898,927454,932988,936591,943651,947272,951038,962316
273553,5571,East Isles,Neighborhood,MN,MN,Minneapolis,Minneapolis-St. Paul-Bloomington,Hennepin County,914128,928350,935477,942316,943078,949423,950800,953966,957080,960413,961566,961672,960428,961784,964183,969238,968851,965990,963678,964359,969865,976229,986045,996491,1000332,1000081,999238,1004777,1012136,1020224,1022111,1026373,1026514,1036110,1039673,1045147,1046914,1050416,1054169,1060218,1065713,1075395,1081519,1088511,1089379,1089714,1090420,1096218,1099146,1107576,1113846
189133,5571,Highlands,Neighborhood,CO,CO,Arvada,Denver-Aurora-Lakewood,Jefferson County,373655,376292,378013,380532,383469,386433,389356,391785,394257,397211,401107,403515,405866,408108,410754,412116,411143,409820,408891,409000,409116,408633,406999,407691,410552,413111,415028,416121,417753,419319,421772,426851,432454,438493,444999,451507,459704,467687,477542,486459,499198,512823,525458,532745,537121,542437,549130,559107,567657,580200,590734
762482,5573,Reata North,Neighborhood,CO,CO,Parker,Denver-Aurora-Lakewood,Douglas County,705264,709347,712177,713636,714882,712213,712523,712787,717133,719314,723642,724664,726307,724567,725061,727010,729380,730800,732628,734999,738099,740870,742944,744788,744432,745400,746372,748868,750471,750025,749302,750978,756710,763717,772262,782722,790399,802986,815192,835538,857883,885112,910769,931376,946466,963258,982116,1002661,1023503,1043478,1063032
