,date,RiverTown Crossings,Downtown,Tokyo Midtown,Brush Park,"The National Art Center, Tokyo",Islandview
149,2020-11-15,19,0,23,24,0,0
150,2020-11-22,42,12,23,40,20,32
151,2020-11-29,22,6,7,8,0,0
152,2020-12-06,64,12,22,23,0,0
153,2020-12-13,34,24,0,8,0,0
154,2020-12-20,49,0,16,25,0,0
155,2020-12-27,37,19,8,16,0,32
156,2021-01-03,27,12,7,22,0,0
157,2021-01-10,25,12,29,15,18,30
158,2021-01-17,24,12,7,8,0,91
159,2021-01-24,21,12,15,23,0,0
160,2021-01-31,13,18,8,15,0,31
161,2021-02-07,26,6,23,15,0,31
162,2021-02-14,24,18,0,39,19,32
163,2021-02-21,25,24,15,23,0,31
164,2021-02-28,28,12,15,39,0,0
165,2021-03-07,20,12,8,31,0,93
166,2021-03-14,29,23,0,36,0,58
167,2021-03-21,28,42,22,23,0,0
168,2021-03-28,34,12,23,32,0,0
169,2021-04-04,28,6,0,40,0,0
170,2021-04-11,27,12,0,23,38,93
171,2021-04-18,20,37,15,8,0,0
172,2021-04-25,25,18,15,8,38,0
173,2021-05-02,25,12,0,23,0,0
174,2021-05-09,25,6,8,32,0,0
175,2021-05-16,24,49,0,48,0,32
176,2021-05-23,27,19,23,24,0,0
177,2021-05-30,33,6,8,41,0,0
178,2021-06-06,28,19,31,8,0,0
179,2021-06-13,26,19,31,16,20,0
180,2021-06-20,30,13,16,8,59,33
181,2021-06-27,28,12,8,0,0,0
182,2021-07-04,37,19,0,41,20,0
183,2021-07-11,29,6,0,56,59,0
184,2021-07-18,25,19,8,50,0,67
185,2021-07-25,25,12,23,8,20,0
186,2021-08-01,25,6,16,32,0,0
187,2021-08-08,29,25,16,24,0,0
188,2021-08-15,44,19,15,32,0,0
189,2021-08-22,38,6,48,25,0,0
190,2021-08-29,28,6,64,33,20,0
191,2021-09-05,30,27,100,34,0,0
192,2021-09-12,23,19,16,25,40,33
193,2021-09-19,28,7,16,42,41,0
194,2021-09-26,16,6,24,33,41,0
195,2021-10-03,28,6,24,25,20,0
196,2021-10-10,28,53,25,17,42,0
197,2021-10-17,23,13,16,17,0,67
198,2021-10-24,32,7,49,0,0,68
199,2021-10-31,20,7,41,42,0,34
200,2021-11-07,26,13,16,25,0,0
201,2021-11-14,25,13,49,17,0,0
202,2021-11-21,48,47,50,34,0,0
203,2021-11-28,32,12,39,16,0,0
204,2021-12-05,28,0,40,8,20,0
205,2021-12-12,45,7,8,25,0,0
206,2021-12-19,66,7,35,0,0,0
207,2021-12-26,49,13,33,26,0,0
208,2022-01-02,27,6,24,33,0,0
209,2022-01-09,29,32,8,8,0,34
210,2022-01-16,25,13,24,25,0,0
211,2022-01-23,20,33,33,17,0,0
212,2022-01-30,26,7,0,17,0,0
213,2022-02-06,25,0,34,52,0,0
214,2022-02-13,30,7,17,44,0,70
215,2022-02-20,25,13,8,17,0,0
216,2022-02-27,31,13,8,25,0,34
