,date,The Palisades,Shawarma,Woodley Park,Barney Circle,Chinatown,Bloomingdale's,Chevy Chase,Noma,Stronghold,Congress Heights,Mount Vernon Square,Wesley Heights Elementary School,Garfield Heights,Judiciary Square,Downtown Holiday Market in Penn Quarter,Marietta Square,Edgewood Junior/Senior High School,Carvery,Brightwood Park,WWTV,Park View City Islamabad,Fairfax Village,Truxton Circle,Southwest Waterfront,Vue Cinema London - West End (Leicester Square),Capitol Hill,Petworth,Foggy Bottom,Eckington,Pleasant Hill,Drayton Manor Theme Park,Central Michigan University,Kingman Park,Brookland Infant and Nursery School,Downtown,U Street Northwest,Dupont Circle,Latin American Montessori Bilingual Public Charter School,Cathedral Heights,McLean Gardens,Medium Rare,Marshall Heights,Forest Hills,The Turn of the Key,Kalorama,Trinidad and Tobago,Randle Highlands,Emergency Contact,Wakefield,Columbia Heights,Logan Circle,Navy Yard,John Adams Morgan
158,2021-01-17,39,86,23,0,53,42,17,11,56,13,24,0,44,5,0,10,13,24,8,0,22,0,14,19,0,7,28,24,26,42,51,3,48,12,22,23,12,27,15,12,0,42,14,46,43,0,18,48,46,4,44,8,5
159,2021-01-24,18,87,23,0,64,42,18,12,75,5,41,31,47,5,0,13,26,24,8,14,0,0,14,17,0,3,34,18,65,43,25,3,16,12,28,29,12,27,59,55,0,43,14,15,47,7,7,42,49,3,48,3,9
160,2021-01-31,22,87,36,0,53,42,14,12,45,5,8,0,56,3,0,14,13,12,25,14,22,0,14,9,0,3,19,25,26,45,60,3,16,18,30,21,12,45,30,37,30,44,11,13,63,3,4,39,41,4,42,4,11
161,2021-02-07,22,80,25,0,69,42,16,8,59,5,25,31,43,8,0,15,27,28,0,14,0,0,14,11,0,4,16,18,0,42,9,3,16,6,20,26,0,9,30,31,15,40,12,10,59,3,23,43,45,4,42,6,20
162,2021-02-14,23,83,21,0,72,41,18,13,63,8,8,0,43,3,0,21,27,41,25,14,0,0,28,10,0,2,16,18,13,51,17,2,16,18,30,27,0,37,15,19,0,44,20,4,54,0,15,43,46,4,42,5,6
163,2021-02-21,13,88,47,0,51,40,19,19,66,8,41,0,49,3,0,17,40,28,8,14,23,0,0,11,47,2,25,21,0,42,9,3,16,24,36,22,25,46,0,19,30,44,18,11,52,3,11,41,38,4,56,2,14
164,2021-02-28,9,89,34,0,65,42,18,16,54,5,8,0,57,3,0,19,13,53,0,57,23,24,28,13,0,2,29,12,0,47,9,3,33,12,27,31,0,18,15,31,15,48,18,11,49,0,15,48,54,4,44,5,12
165,2021-03-07,31,85,31,0,63,43,15,12,64,5,0,0,48,5,0,20,92,28,0,0,0,47,27,21,47,2,34,17,0,43,34,3,0,12,42,31,0,18,0,31,0,46,21,5,46,0,7,43,46,4,55,6,53
166,2021-03-14,21,85,24,0,60,44,16,12,48,5,23,0,47,3,0,18,12,19,15,13,0,45,0,25,0,1,44,20,25,48,24,3,46,23,40,24,0,60,14,17,14,45,10,8,46,0,7,48,46,4,44,4,100
167,2021-03-21,18,87,33,33,72,46,20,11,63,10,16,0,53,3,0,16,92,24,16,14,0,0,0,19,0,2,22,22,26,45,17,3,16,42,42,35,0,36,0,25,15,49,18,9,45,0,26,41,47,5,71,18,17
168,2021-03-28,36,85,26,0,75,47,15,10,61,100,0,0,49,3,0,16,40,49,8,58,23,0,28,12,48,4,29,22,27,49,9,3,99,12,43,34,13,28,0,38,31,51,18,12,47,0,11,44,58,6,70,7,5
169,2021-04-04,32,83,34,0,67,44,15,15,46,16,8,0,51,3,0,21,27,41,0,72,0,0,0,33,48,2,38,21,13,48,26,3,17,6,49,39,25,47,0,32,31,51,14,16,47,0,19,53,48,8,62,2,5
170,2021-04-11,27,87,36,0,59,45,19,13,67,5,0,0,55,5,0,24,0,28,0,0,22,0,55,26,0,2,34,22,13,47,34,3,32,12,41,27,0,64,45,25,30,50,9,8,47,3,8,44,52,6,66,6,3
171,2021-04-18,41,83,28,0,78,46,19,11,63,10,8,0,55,3,0,19,27,12,0,29,0,0,0,19,0,2,51,25,0,49,52,3,33,37,45,38,0,46,31,44,46,50,5,10,48,0,30,46,54,5,67,8,3
172,2021-04-25,45,82,23,33,50,48,14,14,67,10,17,0,52,5,0,22,0,16,0,0,0,24,14,29,0,1,50,24,13,54,35,5,65,18,56,37,12,82,15,31,0,52,14,8,48,3,19,43,46,6,65,6,2
173,2021-05-02,32,83,34,0,65,51,17,11,69,8,17,0,57,0,0,17,27,49,17,29,0,24,28,38,0,2,32,22,53,59,9,3,33,12,41,38,0,28,46,69,91,63,11,10,49,0,19,42,43,5,66,21,3
174,2021-05-09,14,88,26,0,84,48,15,15,64,16,9,0,63,3,0,13,0,21,0,44,23,0,43,37,0,2,36,23,14,51,18,3,17,6,43,46,13,66,47,32,16,55,15,8,48,0,8,48,52,5,71,57,2
175,2021-05-16,27,86,22,34,67,49,18,16,51,24,34,0,58,3,0,20,27,29,8,15,23,24,0,33,0,2,35,22,0,51,26,2,33,49,48,40,0,56,47,38,31,61,16,8,54,7,19,44,58,8,68,32,3
176,2021-05-23,41,89,61,0,77,49,15,14,67,21,43,0,48,8,0,26,14,37,0,29,0,0,0,20,0,2,52,29,27,55,9,2,33,19,63,40,26,19,47,26,16,59,9,11,48,7,23,51,62,7,76,38,2
177,2021-05-30,65,84,35,0,83,53,14,13,47,14,26,0,59,11,0,23,28,25,17,30,71,50,29,54,0,1,33,27,14,54,18,3,0,6,63,50,26,48,0,13,0,59,15,12,51,0,12,49,49,5,76,16,2
178,2021-06-06,74,90,41,34,69,48,16,18,70,11,17,0,59,3,0,17,14,17,25,15,23,0,43,20,0,2,42,25,27,55,36,3,33,19,51,47,13,38,16,38,0,62,9,11,48,3,4,50,57,7,85,19,2
179,2021-06-13,28,86,53,0,70,50,18,17,67,5,17,0,53,0,0,30,14,29,0,29,23,49,0,29,0,2,29,30,27,49,45,2,0,19,69,54,13,19,31,13,47,57,13,11,50,4,23,51,45,4,97,12,2
180,2021-06-20,19,86,42,34,82,46,16,12,43,5,35,0,57,3,0,26,42,17,17,15,24,0,14,30,0,2,23,30,55,58,9,2,0,13,56,51,0,48,32,26,16,60,13,12,49,0,24,47,72,5,78,7,1
181,2021-06-27,23,86,46,0,72,47,22,19,45,13,9,0,61,3,5,47,41,29,60,29,23,49,86,39,0,2,42,32,0,57,44,2,34,12,49,49,0,19,16,19,0,58,4,15,48,0,8,94,50,8,96,15,1
182,2021-07-04,43,79,45,0,96,46,16,17,53,8,35,0,57,3,0,41,42,43,17,45,24,25,29,38,0,2,50,22,0,61,64,2,52,19,60,57,0,39,32,13,32,52,24,6,50,0,16,71,53,7,99,19,2
183,2021-07-11,23,86,29,68,91,44,14,18,56,32,26,0,55,6,0,28,14,59,17,44,0,25,29,33,0,2,29,22,41,57,9,2,0,6,66,52,0,95,47,32,16,55,11,8,87,0,16,50,47,6,85,17,1
184,2021-07-18,43,84,39,0,85,44,16,13,53,25,36,33,56,17,0,33,0,26,0,61,49,0,15,24,0,2,57,31,57,52,28,2,35,19,52,47,40,29,0,60,65,65,11,8,55,0,41,48,50,13,85,12,2
185,2021-07-25,23,83,37,0,96,47,15,16,48,11,26,0,64,3,0,22,41,33,9,44,23,0,100,27,0,2,13,31,0,54,27,2,0,12,57,49,13,19,63,51,16,63,11,4,53,4,16,48,52,6,91,11,2
186,2021-08-01,37,82,29,0,91,43,14,14,60,27,17,33,49,8,0,26,97,21,0,15,24,0,14,24,0,2,36,30,27,54,18,2,0,6,54,46,0,19,16,39,16,53,22,8,55,4,16,54,55,6,71,13,1
187,2021-08-08,56,85,29,0,75,42,15,11,79,5,61,33,62,0,0,18,56,59,9,30,24,25,0,36,0,2,40,34,0,56,45,2,17,25,52,51,0,57,16,39,32,52,19,19,50,4,16,50,46,6,84,18,1
188,2021-08-15,46,92,37,34,78,42,14,11,83,5,25,0,51,3,0,27,68,25,17,44,0,24,0,14,0,3,45,26,13,55,62,3,33,19,51,47,0,66,31,45,15,66,15,9,47,0,15,52,45,6,65,10,2
189,2021-08-22,57,82,52,35,76,45,15,19,60,14,9,0,59,6,0,28,14,39,18,45,0,0,0,18,0,2,27,42,42,47,27,3,0,6,52,43,13,10,16,20,0,65,9,5,46,11,16,78,56,6,76,14,2
190,2021-08-29,29,86,45,0,79,46,14,14,85,14,26,0,48,3,5,24,14,39,18,45,0,0,0,22,0,2,37,29,0,52,27,5,17,6,45,49,26,39,32,46,32,60,32,8,52,0,8,54,45,5,68,7,2
191,2021-09-05,39,81,68,0,73,49,15,15,78,20,18,0,44,3,0,25,44,31,100,94,50,79,15,27,0,2,52,28,15,55,47,5,54,27,60,46,0,30,33,41,33,67,14,7,49,4,21,44,56,5,79,7,2
192,2021-09-12,33,89,36,0,71,46,16,18,80,14,18,0,51,0,0,25,85,30,9,45,0,0,0,30,0,2,17,29,14,49,37,4,0,19,53,46,40,39,48,13,32,62,13,8,66,0,12,52,51,6,76,8,2
193,2021-09-19,39,82,37,0,89,47,16,16,86,8,9,0,46,0,0,29,43,30,9,0,0,26,15,29,0,2,75,33,28,50,19,5,17,7,51,51,40,59,33,40,49,62,15,3,52,0,4,45,38,6,88,3,3
194,2021-09-26,34,81,41,35,75,50,13,15,92,14,18,0,45,0,0,22,57,39,18,46,24,0,30,33,50,2,64,34,28,51,18,4,17,6,52,59,0,20,0,33,48,57,15,9,48,4,4,53,48,4,89,3,2
195,2021-10-03,29,86,41,0,75,54,21,71,88,8,18,0,41,3,0,28,85,39,18,45,24,0,0,36,0,2,34,23,28,46,64,4,35,6,58,57,0,49,16,53,16,54,4,10,48,0,36,53,57,6,73,13,2
196,2021-10-10,15,91,46,36,71,52,15,29,71,6,55,0,54,3,0,29,15,58,27,0,25,0,0,27,0,2,24,37,14,51,28,4,18,53,61,52,27,40,50,34,50,58,12,8,49,7,12,49,45,6,71,4,3
197,2021-10-17,48,79,48,0,75,50,14,16,82,22,45,0,51,0,5,20,0,31,9,61,0,0,0,21,51,2,31,35,85,49,47,4,53,13,48,47,27,79,33,34,16,57,8,11,48,0,12,66,45,6,70,3,2
198,2021-10-24,39,80,51,36,68,53,14,14,63,8,9,0,50,9,0,13,14,31,36,15,49,52,15,19,0,2,41,30,100,55,28,4,18,7,48,48,27,30,16,27,0,61,23,11,49,0,16,60,49,5,70,6,2
199,2021-10-31,39,85,16,72,69,54,13,15,67,14,27,0,52,3,5,25,29,35,9,62,0,26,30,21,0,2,31,35,14,50,66,5,18,7,51,49,14,30,83,41,16,50,10,13,46,0,12,61,52,5,64,3,3
200,2021-11-07,5,92,27,0,79,58,14,23,74,6,9,0,45,3,0,29,43,44,9,31,24,0,45,25,0,1,34,31,43,48,28,4,70,13,39,47,13,30,49,20,49,45,17,6,46,0,16,50,47,6,59,3,9
201,2021-11-14,38,77,32,0,61,64,21,21,83,14,18,0,51,0,53,14,28,22,18,15,0,0,0,22,0,2,27,24,14,53,55,4,35,13,45,45,13,20,16,47,0,48,11,12,50,0,0,50,38,5,72,2,11
202,2021-11-21,44,69,40,0,66,84,38,22,60,6,0,0,44,3,79,23,0,18,9,16,0,0,31,13,0,1,24,26,44,46,38,4,36,47,42,35,0,50,33,69,17,48,6,12,50,0,21,40,34,4,44,5,15
203,2021-11-28,23,70,37,0,64,73,35,23,59,19,34,0,48,3,74,18,55,33,8,0,23,0,0,12,48,2,45,21,27,36,35,3,50,12,44,52,13,28,16,32,0,51,4,8,49,0,12,55,46,5,74,3,8
204,2021-12-05,24,78,20,35,73,72,42,14,50,11,18,66,55,3,100,20,28,56,9,0,24,25,0,24,50,2,30,23,14,45,9,3,52,0,41,50,53,10,16,40,32,48,6,11,49,0,16,60,46,5,71,3,21
205,2021-12-12,10,83,28,0,81,75,45,14,46,11,18,0,50,3,59,25,29,53,0,47,49,26,0,19,0,2,41,25,29,52,47,3,0,7,34,43,54,20,17,61,0,58,4,9,47,4,17,54,43,5,75,5,13
206,2021-12-19,21,84,34,0,95,79,68,18,37,0,19,0,55,0,37,23,0,33,0,17,26,28,0,11,0,1,44,16,46,54,10,2,0,7,36,36,43,53,18,7,0,57,6,8,52,0,9,49,45,4,61,5,6
207,2021-12-26,44,78,14,36,83,69,37,19,49,9,18,0,49,3,15,25,0,44,18,31,50,26,0,23,0,1,31,19,29,50,47,6,0,13,43,35,14,40,17,48,17,51,20,6,45,0,21,43,48,3,65,1,4
208,2022-01-02,43,83,27,0,69,54,17,21,44,11,53,0,56,3,0,16,14,13,0,0,24,0,15,6,0,2,27,25,14,44,27,3,17,6,34,27,26,0,48,13,0,53,4,6,51,0,20,48,49,3,56,3,10
209,2022-01-09,29,86,27,0,74,55,18,21,63,6,18,0,49,3,0,21,100,43,0,31,0,77,0,16,0,2,37,23,57,49,9,4,35,32,39,40,27,39,49,53,16,50,11,8,48,0,8,46,58,4,52,1,10
210,2022-01-16,48,86,27,0,66,54,15,20,57,11,27,0,48,6,5,22,43,13,0,30,24,0,0,10,0,2,30,21,0,43,37,4,0,13,30,38,13,69,0,100,0,52,8,3,49,11,24,56,43,3,52,3,22
211,2022-01-23,44,90,35,0,69,51,13,24,63,0,9,0,52,6,0,19,44,40,18,31,0,26,30,15,0,1,55,15,14,47,9,4,36,33,44,36,54,50,17,34,33,50,10,5,49,0,8,46,48,3,63,2,13
212,2022-01-30,35,89,33,0,98,52,14,20,70,0,37,35,48,0,0,27,30,27,0,32,25,27,16,15,0,1,39,20,30,40,29,3,36,7,41,41,28,31,17,70,0,51,10,6,50,0,13,42,47,5,65,3,12
213,2022-02-06,25,84,14,37,75,51,15,19,62,17,19,0,47,6,0,17,30,14,9,16,25,0,16,13,53,2,42,22,15,50,29,3,0,0,47,41,28,31,17,35,68,56,8,12,53,8,13,40,48,4,64,1,17
214,2022-02-13,30,90,17,0,81,52,55,17,55,12,9,35,54,3,0,27,15,32,9,0,25,0,16,21,0,2,50,32,45,48,49,3,37,7,40,48,0,41,34,42,51,56,2,8,52,0,21,47,44,4,52,4,15
215,2022-02-20,54,85,35,73,88,52,18,20,69,17,36,34,55,9,0,19,29,40,9,0,0,0,0,10,0,2,35,27,14,49,19,3,0,13,40,40,55,40,33,34,50,53,18,7,52,4,12,44,48,4,67,3,13
216,2022-02-27,29,86,32,0,80,50,15,37,73,20,18,0,48,3,0,19,14,31,18,15,74,0,45,21,0,2,24,33,29,47,0,3,35,13,54,43,14,0,33,41,16,53,17,8,51,0,12,44,46,3,74,5,20
